iter	RMSE
0	132.9286055
1	126.959165
2	121.1206933
3	115.8194911
4	110.679875
5	106.0601183
6	101.8725697
7	97.95625019
8	94.33126172
9	90.74410236
10	87.64814207
11	84.93672666
12	82.2960375
13	79.7303745
14	77.4566591
15	75.30806653
16	73.4527029
17	71.70118695
18	69.94259479
19	68.42867706
20	67.10056005
21	65.73130208
22	64.48685457
23	63.45908869
24	62.45393344
25	61.52216927
26	60.64167029
27	59.71067395
28	58.98428864
29	58.20826719
30	57.51436993
31	56.84734216
32	56.21823792
33	55.68560158
34	55.20424751
35	54.70724943
36	54.29454361
37	53.95090837
38	53.50898006
39	53.15243172
40	52.84364003
41	52.48905448
42	52.15787407
43	51.86028224
44	51.55136753
45	51.32272226
46	51.04938714
47	50.8137218
48	50.59496305
49	50.39047706
50	50.21777636
51	50.02926457
52	49.83066073
53	49.62490625
54	49.46672447
55	49.33668859
56	49.09384242
57	48.90388558
58	48.77170684
59	48.59234693
60	48.45101575
61	48.27435624
62	48.13040997
63	48.01860584
64	47.91622357
65	47.80150109
66	47.66117638
67	47.48952415
68	47.3843378
69	47.24730173
70	47.1747256
71	47.07038993
72	46.95680334
73	46.88499728
74	46.8028223
75	46.713025
76	46.57966209
77	46.50211117
78	46.42135954
79	46.32023126
80	46.25469442
81	46.19161175
82	46.11510719
83	46.04546345
84	45.89045124
85	45.81590568
86	45.73137236
87	45.61714104
88	45.55086067
89	45.46513085
90	45.3915982
91	45.30621461
92	45.24835806
93	45.15718271
94	45.10421589
95	45.02997024
96	44.98305282
97	44.89269989
98	44.82052679
99	44.76986337
100	44.71675031
101	44.64672006
102	44.54192973
103	44.44887551
104	44.34421447
105	44.29095225
106	44.24151958
107	44.14801955
108	44.07004677
109	43.99180206
110	43.95599066
111	43.90789129
112	43.84249596
113	43.78576912
114	43.74415028
115	43.67130901
116	43.59570291
117	43.52412105
118	43.45874318
119	43.39530375
120	43.34519418
121	43.27688911
122	43.20468114
123	43.17335639
124	43.13449171
125	43.09253739
126	43.02799137
127	42.96570803
128	42.89557066
129	42.84092586
130	42.76583311
131	42.70017319
132	42.66296189
133	42.61635467
134	42.53148481
135	42.47120031
136	42.43424065
137	42.37020089
138	42.32902149
139	42.29536682
140	42.25381328
141	42.20150933
142	42.15802429
143	42.12228339
144	42.08169784
145	42.03991077
146	42.00609161
147	41.97098214
148	41.92677794
149	41.87551443
150	41.82248643
151	41.78493915
152	41.7410203
153	41.68235487
154	41.64001702
155	41.58634826
156	41.54347314
157	41.48516468
158	41.45663875
159	41.42201538
160	41.36835853
161	41.34015686
162	41.29243183
163	41.23449423
164	41.18233887
165	41.11627184
166	41.0984834
167	41.05253967
168	41.01516186
169	40.99809068
170	40.97510854
171	40.94275709
172	40.90959732
173	40.88282894
174	40.85035844
175	40.81060384
176	40.7764657
177	40.73759534
178	40.70460077
179	40.67940438
180	40.63633284
181	40.58228309
182	40.54229351
183	40.5055671
184	40.48530384
185	40.45004612
186	40.41208104
187	40.35974477
188	40.32209347
189	40.27023775
190	40.24473628
191	40.20309607
192	40.1779985
193	40.15528327
194	40.10341082
195	40.05530958
196	40.02542404
197	40.00622817
198	39.94906722
199	39.92601891
200	39.87629279
201	39.82958395
202	39.78190396
203	39.73852155
204	39.66812804
205	39.63327017
206	39.60388099
207	39.56782012
208	39.53682454
209	39.4801121
210	39.46053804
211	39.42498045
212	39.37940376
213	39.34277946
214	39.28488016
215	39.25845739
216	39.23704419
217	39.19966563
218	39.16949135
219	39.1118122
220	39.08030438
221	39.03483243
222	38.98216763
223	38.93432261
224	38.90610807
225	38.8914451
226	38.86297053
227	38.80297384
228	38.77304329
229	38.75443693
230	38.73053827
231	38.70949828
232	38.67888113
233	38.65228787
234	38.62068678
235	38.58539802
236	38.53968902
237	38.50216335
238	38.47881056
239	38.45150739
240	38.40980141
241	38.37355198
242	38.35194694
243	38.30949567
244	38.28353883
245	38.244346
246	38.23016628
247	38.21307201
248	38.16985729
249	38.13712091
250	38.11654663
251	38.07245233
252	38.06034963
253	38.00474036
254	37.98806836
255	37.96877269
256	37.95710476
257	37.92601861
258	37.88860675
259	37.84334862
260	37.81643272
261	37.78200294
262	37.76246002
263	37.73703929
264	37.6996186
265	37.6877657
266	37.65739754
267	37.61145174
268	37.58269514
269	37.56547843
270	37.53382379
271	37.51470355
272	37.47922625
273	37.44372239
274	37.41632185
275	37.39318295
276	37.36072796
277	37.31972032
278	37.27401345
279	37.24468809
280	37.20055164
281	37.18300089
282	37.14012376
283	37.09584538
284	37.0630541
285	37.04994684
286	37.02702042
287	36.99584498
288	36.96997877
289	36.9508474
290	36.92416496
291	36.9033145
292	36.88297899
293	36.85823572
294	36.83511971
295	36.81677162
296	36.77755344
297	36.75479132
298	36.72715288
299	36.70153972
300	36.67811511
301	36.65853496
302	36.6462607
303	36.62869882
304	36.61391231
305	36.59635734
306	36.56671279
307	36.53263934
308	36.51243226
309	36.49272948
310	36.45204818
311	36.4133568
312	36.38947516
313	36.362255
314	36.34158686
315	36.30013589
316	36.27587205
317	36.25097179
318	36.21569919
319	36.20297285
320	36.17519305
